,sleepdisable,i,itr,dvfs,rate,policy,nmappers,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
37,0,2,1,1,200000,ondemand,32,7.1,0.13,1.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,0,1,1,300000,ondemand,4,42.81,5.03,4.41,0.14,105508.11203258544,1870.5572687528088,0.0,0.0,91.52163461538461,5.525011152084893,0.0,0.0,9.15216346153846,0.0,0.0,0.0,105511.82425213675,1874.9802640548196,0.0,0.0,711.7752351814852,15.863452319522718,0.0,71.17752351814852,422049.91543803405,7514.05751251836,422049.9169337606,7514.05562340352,931.4647435897436,38.36881131907261,0.0,0.0,93.14647435897436,0.0
39,0,1,1,1,300000,ondemand,4,42.01,4.54,4.28,0.14,105993.33958333333,1291.464008898447,0.0,0.0,94.61858974358974,5.28039266485077,0.0,0.0,9.461858974358975,0.0,0.0,0.0,105973.15860042736,1301.657371306412,0.0,0.0,711.6658653846155,16.21261967662585,0.0,71.16658653846154,423789.3715277779,5196.217251960373,423789.3723824787,5196.2181654458645,936.5673076923077,41.40298407696047,0.0,0.0,93.65673076923076,0.0
40,0,2,1,1,300000,ondemand,4,7.24,0.21,1.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,3,1,1,300000,ondemand,4,7.31,0.18,1.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,0,1,1,300000,ondemand,8,63.89,5.93,5.51,0.21,211942.5678151709,3359.3407097012,0.0,0.0,160.7403846153846,7.818261565648519,0.0,0.0,16.074038461538464,0.0,0.0,0.0,211933.91905889247,3371.270837977607,0.0,0.0,496.92343073593076,19.513965445856275,0.0,49.69234307359307,423866.7907318376,6743.408208116337,423866.7968482906,6743.39935828832,915.4727564102564,41.74440406843206,0.0,0.0,91.54727564102565,0.0
43,0,1,1,1,300000,ondemand,8,63.13,5.66,5.44,0.22,206804.89611378204,9682.24654658648,0.0,0.0,174.25721153846155,10.419103472295323,0.0,0.0,17.425721153846155,0.0,0.0,0.0,206808.58187767095,9688.029218584754,0.0,0.0,503.3092948717949,25.099581881964923,0.0,50.33092948717949,413673.2567307692,19329.529829566225,413673.2564903846,19329.530053685558,913.3413461538462,46.76973299211272,0.0,0.0,91.33413461538461,0.0
44,0,2,1,1,300000,ondemand,8,7.12,0.12,1.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,3,1,1,300000,ondemand,8,7.07,0.11,1.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,0,1,1,300000,ondemand,16,69.06,1.71,5.63,0.15,300020.45616987173,380.76362316658145,0.0,0.0,100.40945512820512,4.4169256719149,0.0,0.0,10.040945512820514,0.0,0.0,0.0,300010.05811965815,330.6503564916863,0.0,0.0,62.69873876123876,31.84410342472029,0.0,6.269873876123876,300020.6906917735,399.68895177948303,300020.6905849359,399.6820584742197,694.1786858974359,34.140343329570726,0.011217948717948699,0.08880026345225173,69.41786858974358,0.0011217948717948188
